"ordinal","id","companyName","topic","topicCategory","region","grade","reason","detailUrl"
"1","ruichuangweina","睿创微纳","如果你加入睿创微纳做一款低空探测雷达，如何利用 AI 提供优化目前雷达多目标智能探测与识别的方案？","AI + 研发创新","东部赛区（上海）","C","低空雷达多目标检测、跟踪与识别依赖信号处理和算法工程，属于明确排除的强专业技术命题。","https://activity.feishu.cn/future-talent?detail=ruichuangweina"
"2","sailisijituan","赛力斯集团","如果你加入赛力斯超级工厂团队，你如何打造一名会主动管控设备质量风险的 AI数字员工？","AI + 生产制造","西部赛区（成都）","B","Autonomous Agent、Graph RAG 与飞书执行闭环高度贴合，但工厂设备质量本体、异常识别和工艺知识门槛较高。","https://activity.feishu.cn/future-talent?detail=sailisijituan"
"3","pengfeijituan","鹏飞集团","面向能源行业校招，如何用 AI 打造更懂学生的雇主品牌传播？","AI + 综合领域","北部赛区（北京）","C","核心是能源行业校招品牌内容和精准传播，不是企业组织运行或业务流程重塑。","https://activity.feishu.cn/future-talent?detail=pengfeijituan"
"4","shiyuangufen","视源股份","希沃智教π：打造一款Al智能作业批改系统，可实现多学科作业的自动批改、个性化评语、知识点薄弱分析等，真正做到""每个学生都被认真对待""。","AI + 客户体验","南部赛区（广州）","C","多学科手写识别、过程判分和知识建模依赖教育测评与算法能力，专业门槛高。","https://activity.feishu.cn/future-talent?detail=shiyuangufen"
"5","yerenxiansheng","野人先生","如果你加入野人先生负责设备维修团队，如何以AI 数字化为核心，打通门店、维修部、设备供应商三方数据链路，实现报修信息实时同步，缩短故障处置周期","AI + 营销推广","北部赛区（北京）","A","门店、维修部、供应商三方数据链、设备档案和工单闭环明确，适合用飞书与 Agent 重塑协作流程。","https://activity.feishu.cn/future-talent?detail=yerenxiansheng"
"6","yuoushuzhi","渝欧数智","如果给你一家电商店铺、一条全球供应链和一套AI工具，你会怎么做到""一人经营，好物到家""？","AI + 综合领域","西部赛区（成都）","A","覆盖选品采购、通关物流、仓储、营销、订单和客服全链，天然可拆为多个 Agent 节点重构经营。","https://activity.feishu.cn/future-talent?detail=yuoushuzhi"
"7","tailannisi","泰兰尼斯","如果你加入泰兰尼斯门店销售管理运营团队，你会如何借助 AI 帮助泰兰尼斯培养金牌销售？","AI + 营销推广","东部赛区（上海）","A","销售目标、导购协同、会员运营、经营分析和经验复制形成清晰的门店经营 Agent 体系。","https://activity.feishu.cn/future-talent?detail=tailannisi"
"8","jinshida","金仕达","如果你加入金仕达 AI 产品创新团队，你会如何打造下一代智能化的金融投研与财富助手？","AI + 综合领域","东部赛区（上海）","C","金融投研、财富管理、适当性和合规留痕具有明显金融专业与责任门槛。","https://activity.feishu.cn/future-talent?detail=jinshida"
"9","meimaikeji","美迈科技","如果让你用 AI能力帮公司找到下一个爆品，你会怎么做？","AI + 综合领域","南部赛区（广州）","B","研销数据、趋势和反馈可由 Agent 协作，但核心仍是鞋履爆品孵化，管理改造范围较窄。","https://activity.feishu.cn/future-talent?detail=meimaikeji"
"10","dongmingshihua","东明石化","如果你加入东明石化的营销团队，你会如何为加油站客户提供千人千面的消费行为预测与精准营销策略。","AI + 营销推广","北部赛区（北京）","B","画像、消费预测、权益匹配和营销复盘闭环清楚，但属于单一精准营销模块。","https://activity.feishu.cn/future-talent?detail=dongmingshihua"
"11","pingzixingqiu","瓶子星球","AI赋能品牌新叙事：当下时代，梅见何以成为独一无二的梅见？","AI + 营销推广","西部赛区（成都）","C","官网明确重品牌叙事与品牌思考，不以 AI 系统和企业流程改造为核心。","https://activity.feishu.cn/future-talent?detail=pingzixingqiu"
"12","shuyishaoxiancao","书亦烧仙草","如果你加入书亦团队，你会如何借助AI深入消费者洞察并且建立爆品塑造全流程，预测并打造下一杯现象级爆款茶饮？","AI + 综合领域","西部赛区（成都）","B","产品、研发、设计和市场协作可 Agent 化，但核心仍是爆品预测与配方创新。","https://activity.feishu.cn/future-talent?detail=shuyishaoxiancao"
